name,tot_alco_pc
Afghanistan,0.209999993
Albania,7.170000076
Algeria,0.949999988
Andorra,11.02000046
Angola,6.940000057
Antigua and Barbuda,6.380000114
Argentina,9.649999619
Armenia,5.550000191
Australia,10.51000023
Austria,11.96000004
Azerbaijan,4.409999847
Bahamas,4.78000021
Bahrain,1.090000033
Bangladesh,0.018999999
Barbados,9.68999958
Belarus,11.44999981
Belgium,11.07999992
Belize,6.21999979
Benin,2.809999943
Bhutan,0.430000007
Bolivia,4.429999828
Bosnia and Herzegovina,7.150000095
Botswana,6.590000153
Brazil,7.420000076
Brunei,0.479999989
Bulgaria,12.64999962
Burkina Faso,12.02999973
Burundi,7.190000057
Cambodia,6.639999866
Cameroon,5.650000095
Canada,8.93999958
Cape Verde,5.599999905
Central African Republic,2.380000114
Chad,1.370000005
Chile,9.069999695
China,7.050000191
Colombia,5.739999771
Comoros,0.689999998
Congo,9.270000458
Costa Rica,4.869999886
Cote d'Ivoire,2.710000038
Croatia,9.229999542
Cuba,5.829999924
Cyprus,10.81000042
Czechia,14.44999981
Democratic Republic of Congo,2
Denmark,10.26000023
Djibouti,0.430000007
Dominica,11.18000031
Dominican Republic,6.679999828
East Asia and Pacific,6.433457375
Ecuador,4.199999809
Egypt,0.360000014
El Salvador,3.890000105
Equatorial Guinea,7.230000019
Eritrea,1.440000057
Estonia,9.229999542
Eswatini,10.03999996
Ethiopia,2.359999895
Europe and Central Asia,9.763975143
European Union,11.4447155
Fiji,3.319999933
Finland,10.77999973
France,12.32999992
Gabon,8.739999771
Gambia,3.549999952
Georgia,8.25
Germany,12.90999985
Ghana,2.75
Greece,10.18000031
Grenada,9.479999542
Guatemala,2.450000048
Guinea,1.110000014
Guinea-Bissau,5.380000114
Guyana,6.889999866
Haiti,2.730000019
High income,9.779657364
Honduras,3.75999999
Hungary,11.35000038
Iceland,9.119999886
India,5.539999962
Indonesia,0.569999993
Iran (Islamic Republic of),1.029999971
Iraq,0.389999986
Ireland,12.88000011
Israel,4.210000038
Italy,7.840000153
Jamaica,4.21999979
Japan,7.960000038
Jordan,0.689999998
Kazakhstan,4.760000229
Kenya,2.779999971
Kiribati,0.460000008
Kuwait,0.003
Kyrgyzstan,6.260000229
Laos,10.72000027
Latvia,12.77000046
Lebanon,1.710000038
Lesotho,4.590000153
Liberia,6.119999886
Libyan Arab Jamahiriya,0.018999999
Lithuania,13.22000027
Luxembourg,12.93999958
Madagascar,1.970000029
Malawi,3.630000114
Malaysia,0.850000024
Maldives,2.220000029
Mali,1.279999971
Malta,7.989999771
Mauritania,0.035999998
Mauritius,4.349999905
Mexico,5
Micronesia (country),2.480000019
Middle income,5.618196964
Moldova,11.43000031
Mongolia,8.18999958
Montenegro,11.47000027
Morocco,0.689999998
Mozambique,2.299999952
Myanmar,5.119999886
Namibia,5.429999828
Nauru,3.710000038
Nepal,2.049999952
Netherlands,9.609999657
New Zealand,10.63000011
Nicaragua,5.179999828
Niger,0.670000017
Nigeria,10.84000015
North Korea,3.799999952
North Macedonia,6.159999847
Norway,7.409999847
Oman,0.779999971
Pakistan,0.340000004
Panama,7.980000019
Papua New Guinea,1.389999986
Paraguay,7.579999924
Peru,6.380000114
Philippines,6.860000134
Poland,11.71000004
Portugal,12.02999973
Qatar,1.590000033
Romania,11.73999977
Russia,11.18999958
Rwanda,8.949999809
Saint Kitts and Nevis,8.93999958
Saint Lucia,10.60000038
Saint Vincent and the Grenadines,9.06000042
Samoa,2.660000086
Sao Tome and Principe,5.880000114
Saudi Arabia,0.189999998
Senegal,0.75999999
Serbia,8.75
Seychelles,20.5
Sierra Leone,5.699999809
Singapore,2.029999971
Slovakia,11.14000034
Slovenia,11.89999962
Solomon Islands,1.830000043
Somalia,0.009
South Africa,9.520000458
South Asia,4.333294392
South Korea,9.699999809
Spain,12.72000027
Sri Lanka,4.099999905
Sudan,0.50999999
Suriname,5.329999924
Sweden,8.930000305
Switzerland,11.52999973
Syria,0.239999995
Tajikistan,3.279999971
Tanzania,11.27000046
Thailand,8.300000191
Timor,2.170000076
Togo,2.460000038
Tonga,0.800000012
Trinidad and Tobago,6.71999979
Tunisia,2.119999886
Turkey,2.049999952
Turkmenistan,4.929999828
Tuvalu,1.519999981
Uganda,15.09000015
Ukraine,8.319999695
United Arab Emirates,3.900000095
United Kingdom,11.44999981
United States of America,9.869999886
Uruguay,6.920000076
Uzbekistan,2.589999914
Vanuatu,2.25
Venezuela,4.139999866
Vietnam,8.659999847
World,6.182634354
Yemen,0.050999999
Zambia,6.539999962
Zimbabwe,4.670000076
